专利信息,申请时间,申请号,授权号,授权时间,国际,国内,发明人1,发明人2,发明人3,发明人4,发明人5,简介/摘要,,,,,,,,,,
一种无线传感器网络的节能方法及休眠决策系统,2012.01.17,201210014288.9,  , ,,是,于秦,李唯乔,,,,"本发明公开了一种无线传感器网络的节能方法及休眠决策系统。本发明的方法通过设计元胞自动机状态转换规则，根据网络拓扑情况不同，设置休眠门限值从而调节休眠强度，使得节点能够通过元胞自动机的状态转换规则，在休眠和工作状态间进行切换，当有过多邻居节点处于工作状态时，当前节点可以进入休眠状态，从而减少了能量消耗；本发明的休眠决策系统通过合理使用元胞自动机处理机制，在MAC层与IP层间设计CA层，在保证网络传输可靠性的基础上，减少了节点能量消耗，延长了网络生存期的功能。
",,,,,,,,,,
一种异构网络的多模切换方法,2011.12.22,201110434828.4,  , ,,是,于秦,李定伟,蒋体钢,赵一甲,曹洁,本发明公开了一种异构网络的多模切换方法，具体包括如下步骤：确定异构网络中每种通信模式下的实时业务和非实时业务以及确定异构网络中多种通信模式之间的优先级；设定每种通信模式下的实时业务和非实时业务各自的丢包率门限值；获取每种通信模式下的实时业务和非实时业务各自的丢包率；按照优先级从高到低的顺序，将得到的丢包率与其对应的门限值对比，找到当前最适合接入的网络进行切换。本发明的方法通过通信业务感知当前的通信性能，经过决策，能够选择最优的通信模式，可以使用户更有效的使用网络资源，并加强抗中断通信能力。,,,,,,,,,,
一种无线竞争接入退避方法,2011.11.30,201110389634.7,  , ,,是,于秦,庄奕群,毛玉明,,,本发明公开了一种无线竞争接入退避方法。本发明的方法首先建立归一化网络吞吐量与平均连续空闲时隙数目的函数，根据建立的函数关系，确定一个最优的平均连续空闲时隙数目区间，使得不同场景下的平均连续空闲时隙数目位于该区间时，网络的吞吐量均可接近最大吞吐量，而与具体的网络场景无关。根据平均连续空闲时隙数目是否在最优空闲时隙范围内，动态调整竞争窗口大小，竞争窗口小的，其增加幅度大，减小幅度小，而竞争窗口大的，其增加幅度小，减小幅度大，以达到所有节点的平均竞争窗口趋向一致，从而达到增大网络吞吐量和提高公平性的目的。,,,,,,,,,,
 一种分布式认知无线电网络的信道初始化方法,2011.08.12,201110231083.1, , ,,是,黄晓燕,申如意,,,,本发明属于无线通信技术领域，公开了一种分布式认知无线电网络的初始化方法。本发明方法的 个信道机通过侦听空闲信道来捕获根节点发送的Beacon报文，整个侦听过程分为粗捕获和细捕获两个阶段，其中设置的根节点在整个信道初始化中起到了主导作用，其它节点通过捕获Beacon报文并根据其中通告的信息而接入网络。接入网络后，普通节点向上级节点发送Info报文汇报本地感知的可用信道信息，逐级汇聚到根节点，使得根节点可以统计全网可用空闲信道，有效的解决了各个节点可用信道不一致导致初始组网困难的问题；这种周期广播Beacon报文的机制，也有效的解决了迟入网节点接入网络问题。 ,,,,,,,,,,
双sink互备份WSN中基于费马点的路由方法及系统,2011.08.31,201110254015.7,  , ,,是,韦云凯,李唯乔,刘强,毛玉明,冷甦鹏,本发明提供一种面向双 sink 互备份环境下的，降低目前无线传感器网络双 sink 互备份应用下的能耗开销过高的路由方法以及实现该方法的无线传感器网络系统。将源 sensor 节点到两个 sink 节点的路由结合起来，建立基于路由锚点的联合节能路由，即先沿一条公共路径传输，到达路由锚点之后，再分别向两个 sink 节点分发。并且，路由锚点与费马点结合，利用费马点离三角形三个顶点距离之和最小的特征，这样使得源 sensor 节点通过路由锚点传递数据到 2 个 sink 节点的距离总和最短、能量开销最小，相比现有的路由方法，本发明能够降低传输逻辑距离，减少能量开销。 ,,,,,,,,,,
分段ARQ自动重传方法,2011.11.14,201110359962.2, , ,,是,韦云凯,李唯乔,毛玉明,冷甦鹏,,本发明提供一种既保证较低开销又能获得较高可靠率的 分段ARQ 自动重传方法 ，源节点到目的节点的传输路径被分为若干段，在传输数据报文时，普通中间节点仅转发数据报文；作为ARQ 节点的中间节点转发并缓存数据报文；ARQ 节点接收到数据报文时，对该数据报文进行确认，当存在数据报文 丢失、出错，则触发上一个ARQ 节点进行重传； ARQ 节点被触发进行重传时，在本地缓存中查找相应数据报文并向目的节点方向进行重传。传输路径中一部分中间节点只负责转发，不增加信道负载、节点能耗，另一部分中间节点除了转发数据报文外，还能够进行数据报文的确认与重传，兼顾传输可靠性。,,,,,,,,,,
一种事件自适应的传感器节点,2012.02.29,201210049808.X,  , ,,是,韦云凯,董晓俊,冷甦鹏,毛玉明,,本发明公开了事件自适应的传感器节点架构与节能休眠算法，适用于传感终端与通信模块独立设计的无线传感器网络节点，属于传感网络及物联网技术领域。所述事件自适应的无线传感器架构与节能休眠算法，包括：传感终端与通信模块独立设计的无线传感器网络节点架构；在该种架构上，基于传感终端的事业发生频率，对通信模块的休眠周期进行调整，在保证业务传输的基础上，降低能量消耗，提高节点生存时间。本发明实现了兼容不同传感终端的事件发生频率，自适应调整进行通信模块休眠时间的休眠策略，从而达到减少节点能量消耗、提高节点生存期的目的。,,,,,,,,,,
基于忙音的无线自组织网介质访问控制层的广播方法,2010.07.08,201010221142.2,   , ,,是,冷甦鹏,刘科,李龙江,毛玉明,,"本发明涉及基于忙音的无线自组织网MAC层的广播方法。该方法转发节点的转发过程分为准备转发过程和转发过程两个阶段，其特征在于，转发节点完成准备转发过程后进入转发过程，所述转发过程包括以下步骤：步骤1：转发节点在发送广播数据分组前，先发送广播请求发送分组，在发送广播请求发送分组的同时开启发送忙音, 发送忙音的覆盖距离大于广播数据分组的传输距离，收到发送忙音的邻居节点禁止发送广播请求发送分组，以减小广播请求发送分组冲突的概率。步骤2：邻居节点提取广播请求发送分组中的广播分组源地址和广播分组源序列号，判断是否已经接收过对应的广播数据分组。本发明的有益效果是：可以减少广播数据分组的传输，避免冗余分组。",,,,,,,,,,
一种RFID阅读器的多标签识别方法,2010.07.08,201010221127.8,  , ,,是,冷甦鹏,叶景超,杨坤,段景山,毛玉明,本发明涉及一种RFID阅读器的多标签识别方法。包括以下步骤：步骤1：读写器向标签群发送检测命令，标签收到检测命令后随机从时隙 到时隙 的时隙序列中选择其中一个时隙编号，同时生成一个具有 个比特位的二进制数据作为标签的时隙序列。步骤2：读写器收到标签发送的时隙序列后，检测标签的时隙序列的比特位冲突。步骤3：读写器根据非空闲时隙编号表项将开始识别标签，读写器按照时隙编号从小到大的顺序，依次发送询问命令Query( )给标签群。本发明的有益效果是：本发明继承了二叉树算法识别率高的特点，在标签进行识别的过程中，结合了二叉树算法高识别精度和随机aloha算法快速识别的优势。,,,,,,,,,,
一种用于自组织网络的抗干扰路由方法,2011.06.29,201110179093.5,   , ,,是,冷甦鹏,叶景超,于秦,赵全鑫,,本发明属于移动通信技术领域，公开了一种用于自组织网络的抗干扰路由方法。本发明是针对受到强干扰源的自组织网络的无线信道而提出的。本发明方法中的源节点只有在需要与其它节点进行通信时才会去寻找一条路由，而不用一直维持到所有节点的路由表项。在转发数据包时可以根据各节点维持的其到周围邻居节点的链路质量值检测网络是否遭遇的强干扰，可以检测并自动的避开被强干扰源影响的路径，主动选择通信质量较好的路径进行数据包的转发。本发明设计的抗干扰路由方法可以很好的识别干扰源的变化并根据变化选择相应的路径。,,,,,,,,,,
